Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco17,12,1,0,9610.3,29282,975.4,278,349,433,11.06,781.7,36.3,5.5,1.9,13765.7,3441.4,3513.1,1404.9,49.6,9,25.9,2.8,232.1,533,4752.1,4093.1,0.3,0,42.6,40.2,10.8,16.5,0.3,0.5,0.1,0.2,6.7,58.1,188.2,406.1,0.2,-0.7,0.1,-0.2,6.4,11.2,-8.2,0,1269.16,0,0,0,0,21.1,6.7,671.3,0.09,0, 
1, eco17,12,1,-535.6,9651.1,30766,1114.5,317.6,312.9,102.8,11.35,788.7,37.9,82.7,28.9,14387.3,3596.8,3206.4,1326.4,49.9,7.4,26.2,2.5,233.1,537.6,4780.2,4100.1,3.7,0.6,44.5,42,9.9,15.6,0.3,0.4,0.1,0.2,7.2,58.4,187.2,407.3,0.2,-0.5,0.1,0,7.3,12.4,-8.5,0,5.08,0,0,0,0,16.6,6,672.4,0.08,0, 
2, eco17,12,1,-143.2,9682.7,31554,808.2,230.3,333.2,106.8,11.87,789.6,37.6,32.3,11.3,14805.8,3701.4,2938.7,1254.7,48.9,6.1,25,1.9,225.9,541.3,4808.3,4107.2,1.5,0.2,45.8,43.3,9.1,14.7,0.3,0.3,0.1,0.1,7.3,58.8,187.8,408.5,0.2,-0.7,0.1,0,8,11.1,-8.7,0,5.08,0,0,0,0,15.6,6.5,675.1,0.08,0, 
3, eco17,12,1,186.6,9617.6,31917,456.5,130.1,177.2,108.8,16.21,792.1,32.2,14.9,5.2,14993.7,3748.4,2703.6,1188.7,30.4,3.3,15.3,1.1,190.6,532,4780.8,4114.2,0.7,0.1,46.4,43.8,8.3,13.9,0.2,0.2,0.1,0.1,5.3,58.4,188.7,409.7,0.2,-0.4,0.1,-0.3,6.4,10.2,-8.6,0,5.08,0,0,0,0,9.2,3.4,678.8,0.14,0, 
4, eco17,12,1,312.9,9502.6,32069,286.6,81.7,104.6,109.6,22.52,795.6,28.8,10.7,3.7,15070.5,3767.6,2496.1,1127.8,18.4,2.1,9.3,0.7,158.9,517.6,4705,4121.1,0.5,0.1,46.6,44,7.7,13.2,0.1,0.1,0,0,3.5,57.4,188.7,410.9,0.1,-0.2,0.1,-0.2,4.4,10.3,-8.2,0,5.08,0,0,0,0,5.7,2,683.4,0.22,0, 
5, eco17,12,1,346.3,9369.4,32132,215.5,61.4,77,109.9,29.38,799.4,26.8,9.1,3.2,15100.7,3775.2,2312.7,1071.4,12.9,1.6,6.5,0.5,137.1,502.3,4602.2,4127.8,0.4,0.1,46.7,44.1,7.1,12.6,0.1,0.1,0,0,2.5,56.3,187.9,412.1,0.1,-0.2,0,-0.1,3.1,10.3,-7.7,0,5.08,0,0,0,0,4.2,1.5,688.4,0.3,0, 
6, eco17,12,1,345,9230,32151,185.8,52.9,65.6,110.1,36.48,803.4,25.6,8.6,3,15111.4,3777.8,2150.6,1019.1,10.5,1.3,5.4,0.4,122.4,487.2,4486.1,4134.2,0.4,0.1,46.8,44.1,6.6,12,0.1,0.1,0,0,2,55,186.6,413.2,0,-0.2,0,-0.1,2.3,10.2,-7.2,0,5.08,0,0,0,0,3.6,1.3,693.4,0.39,0, 
7, eco17,12,1,328.2,9089.7,32159,176.2,50.2,61.8,110.1,43.7,807.3,24.9,8.4,2.9,15115.8,3778.9,2007.1,970.7,9.6,1.3,4.9,0.4,112.4,472.6,4364.3,4140.5,0.4,0.1,46.8,44.2,6.2,11.4,0.1,0.1,0,0,1.8,53.6,184.8,414.3,0,-0.1,0,-0.1,2,10.1,-6.6,0,5.08,0,0,0,0,3.4,1.2,698.3,0.47,0, 
8, eco17,12,1,309.4,8950.6,32165,172.3,49.1,60.4,110.2,51.05,811.2,24.3,8.3,2.9,15117.6,3779.4,1880.1,925.9,9.3,1.2,4.8,0.4,104.8,458.5,4240.8,4146.5,0.4,0.1,46.8,44.2,5.8,10.9,0,0.1,0,0,1.6,52.2,182.7,415.4,0,-0.1,0,-0.1,1.8,9.9,-6.1,0,5.08,0,0,0,0,3.3,1.2,703.1,0.56,0, 
9, eco17,12,1,291.3,8813.2,32165,170,48.4,59.5,110.2,58.52,815,23.8,8.3,2.9,15117.8,3779.5,1767.7,884.4,9.1,1.2,4.7,0.4,98.7,444.8,4117.4,4152.3,0.4,0.1,46.8,44.2,5.5,10.4,0,0.1,0,0,1.6,50.8,180.3,416.4,0,-0.1,0,-0.1,1.7,9.7,-5.6,0,5.08,0,0,0,0,3.3,1.2,707.7,0.65,0, 
