Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 32, 0, 6024.6, 13452, 85.5, 24.5, 31.4, 49.5, 8.79, 415.3, 3.6, 169.8, 59.4, 6157.7, 1539.4, 858.6, 293.5, 23.4, 11.3, 12.4, 1.6, 138.7, 164.5, 3133.7, 2587.6, 4.9, 1, 20.4, 19.2, 2.9, 3.7, 0.1, 0.4, 0.1, 0.1, 3.7, 17.2, 85, 247.8, 0.1, -1, 0.1, 0, 4.9, 9.4, -7.6, 0, 62.16, 0.33, 0.06, 0, 0, 1.3, 0.5, 363.2, 0.02, 0, 
0, eco2, 1, 1239, 0, 8115.5, 11141.3, 2.6, 0.7, 0.9, 1.5, 23.74, 384.1, 0.1, 60.1, 21, 5181.6, 1295.4, 656.4, 223.1, 21.8, 5.4, 7.5, 0.9, 145.3, 114.4, 2962.9, 4892.8, 2.2, 0.4, 15.1, 15.3, 1.9, 2.6, 0.1, 0.2, 0, 0, 3.7, 11.9, 59, 247.7, 0.1, -0.5, 0.1, -0.2, 3.4, 8, -6.4, 0, 2.84, 0.02, 0.01, 0, 0, 0, 0, 346.6, 0, 0, 
0, eco3, 2, 689, 0, 5689.6, 18668.6, 5.8, 1.6, 2, 3.4, 6.15, 403.9, 0.3, 158.6, 55.5, 8620.7, 2155.2, 1116.7, 387.5, 34.4, 11.5, 15.7, 1.8, 112.9, 166.9, 3129.3, 2280.5, 4.5, 0.9, 24.7, 25, 3.2, 4.5, 0.2, 0.4, 0.1, 0.1, 2.8, 18, 83.6, 229.6, 0.2, -1, 0.1, 0.1, 5.7, 13.4, -11.1, 0, 3.38, 0.02, 0, 0, 0, 0.1, 0, 341, 0, 0, 
0, eco4, 3, 23, 0, 11896.3, 13653.4, 43.4, 12.4, 15.7, 26.6, 5.66, 637, 1.9, 100.5, 35.2, 6321, 1580.3, 825.9, 284.3, 26, 7.7, 10.3, 1.2, 185.2, 208.9, 4253.5, 7248.7, 3.1, 0.6, 18.1, 18.6, 2.4, 3.4, 0.1, 0.3, 0.1, 0.1, 4.7, 21.9, 109.8, 448.3, 0.1, -0.7, 0.1, -0.2, 4.3, 9.4, -7.7, 0, 43.61, 0.2, 0.02, 0, 0, 0.7, 0.3, 590.9, 0, 0, 
0, eco6, 4, 3, 0, 11078.8, 24506, 302.1, 86.7, 112.1, 175.8, 7.36, 539.2, 12.8, 204.2, 71.5, 11321.6, 2830.4, 1479.9, 465, 45.8, 16.8, 17, 1.9, 225.6, 289.5, 5847.8, 4715.9, 5.9, 1.2, 33.5, 32.3, 4.4, 5.3, 0.2, 0.6, 0.1, 0.1, 5.9, 30.4, 148, 264, 0.2, -1.4, 0.1, 0.2, 7.8, 17.2, -14.4, 0, 175.69, 1.42, 0.17, 0, 0, 4.1, 1.9, 456.8, 0.02, 0, 
0, eco7, 5, 44, 0, 7689.5, 15713.2, 40, 11.5, 15.3, 22.8, 12.65, 429.7, 1.6, 215.2, 75.3, 7178.1, 1794.5, 988.4, 311.4, 27.8, 13.7, 12.3, 1.5, 182.8, 165.3, 3426.1, 3915.3, 6.1, 1.2, 21.8, 20.5, 3, 3.5, 0.1, 0.5, 0.1, 0.1, 5, 17.2, 74, 264.1, 0.2, -1.3, 0.1, -0.3, 5.4, 11.8, -9.4, 0, 29.37, 0.31, 0.05, 0, 0, 0.6, 0.2, 373.6, 0.01, 0, 
0, eco8, 6, 6, 0, 6491.1, 14623, 93.3, 26.9, 35.9, 53, 14.91, 291.5, 3.8, 202.7, 70.9, 6677.2, 1669.3, 915.8, 289.2, 26, 12.9, 11.5, 1.4, 168.5, 135.7, 3040.6, 3146.3, 5.7, 1.1, 20, 18.8, 2.8, 3.2, 0.1, 0.4, 0.1, 0.1, 4.6, 14.1, 57.5, 148, 0.2, -1.3, 0.1, -0.3, 5.1, 11.2, -9, 0, 87.84, 0.84, 0.17, 0, 0, 1.3, 0.6, 239.8, 0.03, 0, 
0, eco10, 7, 1861, 0, 8919.2, 14052.1, 6.2, 1.8, 2.3, 3.6, 10.99, 490.2, 0.3, 182, 63.7, 6429.4, 1607.4, 893.2, 314, 24.3, 11, 13.3, 1.7, 167.3, 185.9, 3565.3, 5000.6, 5.2, 1.1, 21.8, 19.8, 3.2, 3.9, 0.1, 0.4, 0.1, 0.1, 4.4, 19.3, 82, 317.9, 0.1, -1.1, 0.1, -0.1, 4.8, 10.2, -8.2, 0, 4.81, 0.03, 0.01, 0, 0, 0.1, 0, 435.2, 0, 0, 
0, eco11, 8, 554, 0, 9315.8, 11472.3, 13.6, 3.9, 5.1, 7.9, 10.46, 465.2, 0.5, 149, 52.2, 5249.5, 1312.4, 753.3, 262.4, 20.1, 9.1, 11.3, 1.5, 177.3, 135.9, 3283.5, 5719.1, 4.4, 0.9, 16.3, 16.8, 2.3, 3.4, 0.1, 0.3, 0.1, 0.1, 4.5, 14, 67.2, 324.4, 0.1, -0.9, 0.1, -0.2, 4.1, 8.5, -6.8, 0, 11.88, 0.09, 0.02, 0, 0, 0.2, 0.1, 421.1, 0, 0, 
0, eco12, 9, 71, 0, 10373, 18598.1, 30.2, 8.7, 11.4, 16.8, 4.59, 619.4, 1.2, 273.4, 95.7, 8476.2, 2119.1, 1202.5, 412, 36.8, 14.8, 17.8, 2.5, 217.2, 259.5, 5379.1, 4517.2, 7.1, 1.5, 24.8, 24, 3.5, 4.6, 0.2, 0.5, 0.1, 0.1, 5.5, 27.2, 137.3, 378.5, 0.2, -1.2, 0.1, 0, 6, 13.4, -11.5, 0, 15.57, 0.09, 0.01, 0, 0, 0.4, 0.2, 554, 0, 0, 
0, eco14, 10, 1, 0, 9047.3, 15351, 587.9, 169.5, 225.8, 333.8, 10.7, 426.7, 23.8, 206.6, 72.3, 7016.7, 1754.2, 958.8, 364.5, 27.4, 13.3, 16.4, 1.9, 176.5, 156.8, 3679, 5035, 5.8, 1.2, 21, 19.8, 2.9, 4.1, 0.1, 0.4, 0.1, 0.1, 4.8, 16.1, 61, 278.4, 0.2, -1.3, 0.1, -0.3, 5.3, 11.9, -9.6, 0, 527.06, 5.3, 0.94, 0, 0, 8.4, 3.7, 371.9, 0.11, 0, 
0, eco16, 11, 3333, 0, 8160.1, 18834.2, 5.9, 1.7, 2.1, 3.5, 7.79, 444.6, 0.2, 143.9, 50.4, 8715.5, 2178.9, 1120.5, 440.8, 36.4, 11.1, 19.3, 2.4, 171.9, 209.6, 4584.3, 3194.4, 4.4, 0.9, 25.9, 25.9, 3.4, 5.3, 0.2, 0.4, 0.1, 0.1, 4.4, 22, 104.7, 239.1, 0.2, -1, 0.1, 0, 5.9, 13.3, -11.1, 0, 3.63, 0.02, 0, 0, 0, 0.1, 0, 378.9, 0, 0, 
0, eco17, 12, 7434, 0, 10270.6, 32317.9, 8.9, 2.5, 3.1, 5.5, 9.21, 744.2, 0.4, 132.3, 46.3, 15063.5, 3765.9, 1882.9, 752.5, 60.1, 13.9, 31.5, 3.4, 185.2, 75.5, 5848.8, 4161.1, 4.4, 0.8, 44.6, 44.5, 5.6, 8.9, 0.3, 0.6, 0.2, 0.2, 4.4, 9.7, 197.3, 413.4, 0.3, -1.3, 0.2, 0.2, 9.4, 21, -18.1, 0, 3.36, 0, 0, 0, 0, 0.1, 0.1, 635.3, 0, 0, 
0, eco18, 13, 2972, 0, 4902.9, 18835.9, 9.8, 2.8, 3.7, 5.7, 5.68, 330.2, 0.4, 209.3, 73.3, 8649.9, 2162.5, 1172.4, 460.6, 36, 13.9, 21.2, 2.8, 85.7, 152.7, 2853.3, 1811.3, 5.8, 1.2, 26.1, 25.5, 3.5, 5.4, 0.2, 0.5, 0.1, 0.2, 2.2, 16.7, 77, 160.2, 0.2, -1.2, 0.1, 0, 6.2, 13.8, -11.3, 0, 6.08, 0.03, 0, 0, 0, 0.1, 0.1, 262.7, 0, 0, 
0, eco19, 14, 2108, 0, 8977.8, 24006.9, 8.1, 2.3, 3, 4.9, 5.99, 612.7, 0.4, 298.3, 104.4, 10992.3, 2748.1, 1517.6, 600.5, 45.3, 18.3, 26.9, 3.5, 151.4, 284.5, 4878.5, 3663.4, 8.1, 1.7, 33.1, 31.6, 4.6, 6.9, 0.2, 0.6, 0.1, 0.2, 3.9, 30.5, 132.3, 352.8, 0.3, -1.5, 0.1, 0.1, 7.8, 17.5, -14.8, 0, 3.57, 0.02, 0, 0, 0, 0.1, 0.1, 526.7, 0, 0, 
0, eco20, 15, 39, 0, 6837.3, 16840, 17.8, 5.1, 6.3, 9.8, 4.95, 349.1, 0.7, 170.7, 59.7, 7752.5, 1938.1, 1009, 392.6, 31.9, 11.5, 18.2, 2.5, 164.5, 187.1, 3753.6, 2732, 5.2, 1, 24.3, 23.9, 3.2, 4.8, 0.2, 0.4, 0.1, 0.1, 4.4, 19.1, 74.1, 183.3, 0.2, -1.2, 0.1, 0.1, 5.9, 11.8, -9.9, 0, 9.59, 0.08, 0.01, 0, 0, 0.2, 0.1, 286.7, 0, 0, 
0, eco21, 16, 98, 0, 5252.6, 23035.3, 28.4, 8.1, 10.4, 16.6, 7.1, 348.5, 1.2, 190.7, 66.7, 10644.3, 2661.1, 1398.5, 527.7, 46.4, 14.9, 21.5, 2.6, 98.7, 178.6, 3060.7, 1914.6, 5.4, 1.1, 30.8, 29.9, 4.1, 5.9, 0.2, 0.6, 0.1, 0.1, 2.6, 19.1, 71, 170.4, 0.2, -1.2, 0.1, 0.1, 7.4, 16.9, -14.2, 0, 12.84, 0.12, 0.01, 0, 0, 0.4, 0.2, 271.3, 0, 0, 
0, eco22, 17, 695, 0, 13801.7, 29879.5, 10, 2.9, 3.7, 6, 8.91, 898.8, 0.4, 118.4, 41.4, 13930.3, 3482.6, 1764.7, 670.3, 57.9, 13.7, 25.2, 2.8, 258.6, 413.2, 7713.9, 5416, 3.7, 0.7, 41.5, 40, 5.3, 7.7, 0.3, 0.6, 0.1, 0.2, 6.5, 43.7, 203.8, 535.9, 0.3, -1.2, 0.2, 0.1, 8.7, 20.3, -17.3, 0, 4.26, 0.02, 0, 0, 0, 0.1, 0.1, 799.9, 0, 0, 
0, eco23, 18, 688, 0, 6067.8, 19454.9, 8.7, 2.5, 3.3, 5, 5.76, 402.7, 0.4, 248.4, 86.9, 8902.4, 2225.6, 1251.6, 466.8, 37.6, 15.3, 19.9, 2.7, 123.1, 174.2, 3568.4, 2202, 6.6, 1.4, 26.9, 25.3, 3.8, 5.3, 0.2, 0.5, 0.1, 0.1, 3.2, 18.6, 89.3, 215.5, 0.2, -1.3, 0.1, 0, 6.4, 14.4, -12, 0, 5.12, 0.03, 0, 0, 0, 0.1, 0.1, 333.4, 0, 0, 
0, eco24, 19, 567, 0, 8273.5, 25798.4, 11.9, 3.4, 4.4, 7.2, 7.14, 511.5, 0.5, 252.7, 88.5, 11879.9, 2970, 1627.7, 604.7, 50.1, 16.8, 23.9, 3.1, 156.5, 223, 5024, 2870.1, 6.8, 1.4, 35.1, 33.6, 4.9, 6.8, 0.3, 0.6, 0.1, 0.2, 4, 24.2, 140.1, 246.2, 0.3, -1.4, 0.2, 0, 8.1, 18.1, -15.4, 0, 5.67, 0.03, 0, 0, 0, 0.2, 0.1, 422.9, 0, 0, 
0, eco25, 20, 12, 0, 14551.1, 19461.6, 188.8, 54.5, 73.1, 109.4, 5.52, 906.2, 8.2, 186, 65.1, 8966.3, 2241.6, 1212, 457.1, 38.7, 14.2, 18.1, 2.1, 212.4, 341.8, 5954.4, 8042.4, 5.1, 1, 26.1, 24.6, 3.6, 5, 0.2, 0.5, 0.1, 0.1, 5.8, 35.5, 158.2, 634.8, 0.2, -1.2, 0.1, 0.1, 6.4, 13, -11.4, 0, 104.85, 0.47, 0.06, 0, 0, 2.6, 1.1, 840.8, 0.01, 0, 
0, eco26, 21, 860, 0, 7995.9, 15549.2, 9.4, 2.7, 3.5, 5.5, 8.53, 347, 0.4, 195.8, 68.5, 7120.6, 1780.1, 966.7, 335.2, 29.6, 11.1, 13.5, 1.8, 179.7, 168.3, 3612.2, 4035.7, 5.6, 1.1, 21, 21.2, 2.9, 4, 0.2, 0.4, 0.1, 0.1, 4.7, 17.2, 67.8, 192.2, 0.2, -1.1, 0.1, -0.2, 5.2, 11.5, -9.4, 0, 6.82, 0.06, 0.01, 0, 0, 0.1, 0.1, 291.2, 0, 0, 
0, eco27, 22, 878, 0, 9094.4, 14713.8, 11.1, 3.2, 4.1, 6.4, 11.13, 448.4, 0.5, 210.1, 73.5, 6712.5, 1678.1, 944.5, 329.9, 26.9, 12.5, 13.5, 1.7, 173.9, 184.2, 3883.7, 4852.5, 5.9, 1.2, 21, 19.5, 3, 3.8, 0.1, 0.4, 0.1, 0.1, 4.7, 19.1, 96.6, 261.6, 0.2, -1.2, 0.1, -0.1, 5.2, 10.3, -8.5, 0, 8.31, 0.05, 0.01, 0, 0, 0.2, 0.1, 393.9, 0, 0, 
0, eco28, 23, 746, 0, 7487.7, 12639, 12.3, 3.5, 4.6, 7.2, 12.4, 455.8, 0.5, 154.2, 54, 5791.3, 1447.8, 802.7, 283.9, 23.8, 9.9, 12.2, 1.5, 147.8, 167.6, 3450.2, 3722.1, 4.3, 0.9, 17.6, 17.4, 2.5, 3.4, 0.1, 0.4, 0.1, 0.1, 3.8, 17.6, 87.8, 287.5, 0.1, -0.9, 0.1, -0.1, 4.2, 9.1, -7.4, 0, 9.46, 0.05, 0.01, 0, 0, 0.2, 0.1, 409.7, 0, 0, 
