Time,Ecoregion,EcoregionIndex,NumSites,SppBiomass_abiegran,SppBiomass_acercamp,SppBiomass_acerpseu,SppBiomass_alnuglut,SppBiomass_betupend,SppBiomass_carpbetu,SppBiomass_castsati,SppBiomass_chamlaws,SppBiomass_coryavel,SppBiomass_cratmono,SppBiomass_fagusylv,SppBiomass_franalnu,SppBiomass_fraxexce,SppBiomass_ilexaqui,SppBiomass_larideci,SppBiomass_malusylv,SppBiomass_piceabie,SppBiomass_picesitc,SppBiomass_pinunigr,SppBiomass_pinupond,SppBiomass_pinusylv,SppBiomass_popualba,SppBiomass_prunspin,SppBiomass_pseumenz,SppBiomass_querrobu,SppBiomass_querrubr,SppBiomass_salicine,SppBiomass_sequsemp,SppBiomass_sorbaria,SppBiomass_sorbaucu,SppBiomass_sorbtorm,SppBiomass_taxubacc,SppBiomass_tiliplat,SppBiomass_tsughete,SppBiomass_vibuopul,
0, eco1, 0, 32, 0, 0, 0, 122.548946380615, 2399.69343662262, 148.936672210693, 0, 0, 0, 696.488439559937, 2024.94222164154, 0, 268.407628059387, 2470.36014461517, 0, 189.582429885864, 0, 0, 0, 0, 0, 0, 0, 75.0622835159302, 4522.25016403198, 0, 523.429985046387, 0, 0, 0, 0, 0, 0, 20.8553771972656, 0, 
0, eco2, 1, 1239, 0, 0, 0, 0, 1477.32543405898, 178.854554404935, 508.304371535922, 0, 0, 21.662785490835, 4043.89952862041, 0, 186.831552426982, 204.160463186884, 32.9234479853374, 28.2014897602811, 0, 11.2429247741453, 0, 0, 24.3561214173004, 0, 0, 92.4936056437273, 4260.1752111575, 0, 7.76208175893172, 0, 0, 0, 0, 44.4189330463548, 0, 29.94174998532, 0, 
0, eco3, 2, 689, 0, 0, 0, 0, 1208.34740701573, 22.1134731253969, 1831.72244386714, 0, 0, 2.63913154325222, 2746.8817191823, 0, 27.700354499983, 1513.12245997635, 1.80748058922578, 3.59873574842389, 0, 0, 0, 0, 15.1099186912503, 0, 0, 10.9612125125437, 10804.9731511751, 0, 5.00966136029912, 0, 0, 0, 0, 482.233329828315, 0, 3.04561744545991, 0, 
0, eco4, 3, 23, 0, 0, 0, 0, 2216.02472056513, 0, 908.773745329484, 0, 0, 0, 2868.19979460343, 0, 0, 805.449335512908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6607.03948178499, 0, 0, 0, 0, 0, 0, 257.28273607337, 0, 0, 0, 
0, eco6, 4, 3, 0, 0, 0, 0, 235.322998046875, 0, 0, 0, 0, 227.874542236328, 10230.1452026367, 0, 0, 3274.62768554688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10554.9388275146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, eco7, 5, 44, 0, 0, 0, 0, 556.80369498513, 0, 0, 0, 64.7407004616477, 353.874540502375, 4590.61767508767, 0, 0, 3420.13616900011, 0, 0, 0, 0, 0, 0, 57.8896900523793, 0, 0, 0, 6600.7027535872, 0, 85.6967135342685, 0, 0, 0, 0, 0, 0, 0, 0, 
0, eco8, 6, 6, 0, 0, 0, 0, 237.314575195313, 0, 0, 0, 0, 237.156723022461, 4852.80798339844, 0, 0, 3273.13092041016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6037.64407348633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, eco10, 7, 1861, 0, 116.32095186048, 0, 17.9636283107883, 1233.3926138655, 0, 116.422191917096, 0, 30.7272476450466, 975.528849614557, 3310.00397146677, 7.73471502255907, 33.2652082161388, 2281.77876489999, 0, 101.758284743533, 0, 0, 50.0868567825965, 0, 168.629662531669, 3.6549272163141, 20.6816443802528, 12.2482787659577, 5125.80943964118, 0, 296.813438354033, 0, 0, 14.5832675644815, 16.1481164012911, 133.29646674335, 0, 0, 0, 
0, eco11, 8, 554, 0, 0, 0, 15.7608891566308, 2197.49380589564, 0, 70.9869092810455, 0, 0, 315.978309383461, 1346.77293858717, 131.230628719399, 32.094477794661, 1816.90491019431, 0, 24.3334881613831, 9.12924673583103, 0, 89.5758719874633, 0, 121.824428461949, 0, 26.2136479181503, 15.9189404649425, 4160.93630827205, 0, 1056.57066345215, 0, 0, 24.4666597111561, 6.87208793998195, 23.1400838363042, 0, 0, 0, 
0, eco12, 9, 71, 0, 0, 0, 0, 868.340411119058, 0, 216.813395755392, 0, 0, 343.813553071358, 3529.39383708255, 0, 0, 2781.35561865148, 0, 0, 27.7699172328895, 0, 792.669689769476, 0, 853.530521016725, 0, 36.6294710401078, 0, 9165.92542793381, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, eco14, 10, 1, 0, 0, 0, 0, 243.49528503418, 0, 0, 0, 0, 242.368087768555, 5153.13110351563, 0, 0, 3338.67468261719, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6391.1634979248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, eco16, 11, 3333, 0, 0, 50.6989549601933, 196.110876633318, 1308.45043579065, 0, 106.338494022437, 0, 5.19381371425717, 206.410561397631, 6790.00901405296, 36.8258308618948, 63.8548765002233, 1294.71543940588, 0, 34.2474959608388, 9.83702775489951, 23.9580324792733, 19.5161535227009, 0, 37.8404548065891, 0, 18.7947586476177, 25.9005629490561, 8074.74224110033, 0, 281.057660432181, 0, 0, 0, 5.39086643497113, 244.446023148457, 0, 8.99251678860513, 6.39032581236639, 
