"","Species","Ecoregion","mean_ProbEst"
"169"," castsati"," eco22",0
"170"," castsati"," eco23",0
"171"," castsati"," eco24",0
"172"," castsati"," eco25",0
"173"," castsati"," eco26",0
"174"," castsati"," eco27",0
"175"," castsati"," eco28",0
"176"," castsati"," eco29",0
"177"," castsati"," eco3",0
"178"," castsati"," eco30",0
"179"," castsati"," eco4",0
"180"," castsati"," eco6",0
"181"," castsati"," eco7",0
"182"," castsati"," eco8",0
"183"," chamlaws"," eco1",0
"184"," chamlaws"," eco10",0
"185"," chamlaws"," eco11",0
"186"," chamlaws"," eco12",0
"187"," chamlaws"," eco14",0
"188"," chamlaws"," eco16",0
"189"," chamlaws"," eco17",0
"190"," chamlaws"," eco18",0
"191"," chamlaws"," eco19",0
"192"," chamlaws"," eco2",0
"193"," chamlaws"," eco20",0
"194"," chamlaws"," eco21",0
"195"," chamlaws"," eco22",0
"196"," chamlaws"," eco23",0
"197"," chamlaws"," eco24",0
"198"," chamlaws"," eco25",0
"199"," chamlaws"," eco26",0
"200"," chamlaws"," eco27",0
"201"," chamlaws"," eco28",0
"202"," chamlaws"," eco29",0
"203"," chamlaws"," eco3",0
"204"," chamlaws"," eco30",0
"205"," chamlaws"," eco4",0
"206"," chamlaws"," eco6",0
"207"," chamlaws"," eco7",0
"208"," chamlaws"," eco8",0
"209"," coryavel"," eco1",0
"210"," coryavel"," eco10",0
"211"," coryavel"," eco11",0
"212"," coryavel"," eco12",0
"213"," coryavel"," eco14",0
"214"," coryavel"," eco16",0
"215"," coryavel"," eco17",0
"216"," coryavel"," eco18",0
"217"," coryavel"," eco19",0
"218"," coryavel"," eco2",0
"219"," coryavel"," eco20",0
"220"," coryavel"," eco21",0
"221"," coryavel"," eco22",0
"222"," coryavel"," eco23",0
"223"," coryavel"," eco24",0
"224"," coryavel"," eco25",0
"225"," coryavel"," eco26",0
"226"," coryavel"," eco27",0
"227"," coryavel"," eco28",0
"228"," coryavel"," eco29",0
"229"," coryavel"," eco3",0
"230"," coryavel"," eco30",0
"231"," coryavel"," eco4",0
