"","Species","Ecoregion","mean_ProbEst"
"824"," taxubacc"," eco27",0.04
"825"," taxubacc"," eco28",0.05
"826"," taxubacc"," eco29",0.08
"827"," taxubacc"," eco3",0.06
"828"," taxubacc"," eco30",0.03
"829"," taxubacc"," eco4",0.05
"830"," taxubacc"," eco6",0
"831"," taxubacc"," eco7",0.04
"832"," taxubacc"," eco8",0.06
"833"," tiliplat"," eco1",0
"834"," tiliplat"," eco10",0
"835"," tiliplat"," eco11",0
"836"," tiliplat"," eco12",0
"837"," tiliplat"," eco14",0
"838"," tiliplat"," eco16",0
"839"," tiliplat"," eco17",0
"840"," tiliplat"," eco18",0
"841"," tiliplat"," eco19",0
"842"," tiliplat"," eco2",0
"843"," tiliplat"," eco20",0
"844"," tiliplat"," eco21",0
"845"," tiliplat"," eco22",0
"846"," tiliplat"," eco23",0
"847"," tiliplat"," eco24",0
"848"," tiliplat"," eco25",0
"849"," tiliplat"," eco26",0
"850"," tiliplat"," eco27",0
"851"," tiliplat"," eco28",0
"852"," tiliplat"," eco29",0
"853"," tiliplat"," eco3",0
"854"," tiliplat"," eco30",0
"855"," tiliplat"," eco4",0
"856"," tiliplat"," eco6",0
"857"," tiliplat"," eco7",0
"858"," tiliplat"," eco8",0
"859"," tsughete"," eco1",0
"860"," tsughete"," eco10",0
"861"," tsughete"," eco11",0
"862"," tsughete"," eco12",0
"863"," tsughete"," eco14",0
"864"," tsughete"," eco16",0
"865"," tsughete"," eco17",0
"866"," tsughete"," eco18",0
"867"," tsughete"," eco19",0
"868"," tsughete"," eco2",0
"869"," tsughete"," eco20",0
"870"," tsughete"," eco21",0
"871"," tsughete"," eco22",0
"872"," tsughete"," eco23",0
"873"," tsughete"," eco24",0
"874"," tsughete"," eco25",0
"875"," tsughete"," eco26",0
"876"," tsughete"," eco27",0
"877"," tsughete"," eco28",0
"878"," tsughete"," eco29",0
"879"," tsughete"," eco3",0
"880"," tsughete"," eco30",0
"881"," tsughete"," eco4",0
"882"," tsughete"," eco6",0
"883"," tsughete"," eco7",0
"884"," tsughete"," eco8",0
"885"," vibuopul"," eco1",0
"886"," vibuopul"," eco10",0
"887"," vibuopul"," eco11",0
"888"," vibuopul"," eco12",0
"889"," vibuopul"," eco14",0
"890"," vibuopul"," eco16",0
"891"," vibuopul"," eco17",0
"892"," vibuopul"," eco18",0
"893"," vibuopul"," eco19",0
"894"," vibuopul"," eco2",0
"895"," vibuopul"," eco20",0
"896"," vibuopul"," eco21",0
"897"," vibuopul"," eco22",0
"898"," vibuopul"," eco23",0
"899"," vibuopul"," eco24",0
"900"," vibuopul"," eco25",0
"901"," vibuopul"," eco26",0
"902"," vibuopul"," eco27",0
"903"," vibuopul"," eco28",0
"904"," vibuopul"," eco29",0
"905"," vibuopul"," eco3",0
"906"," vibuopul"," eco30",0
"907"," vibuopul"," eco4",0
"908"," vibuopul"," eco6",0
"909"," vibuopul"," eco7",0
"910"," vibuopul"," eco8",0
