Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, eco1, 0, 32, 0, 5987.7, 13297.5, 84.3, 24.2, 30.9, 48.9, 8.89, 413.8, 3.5, 167.5, 58.6, 6088.3, 1522.1, 849, 290.2, 23.2, 11.1, 12.2, 1.5, 137.1, 162.8, 3101.2, 2586.6, 4.9, 1, 20.2, 19, 2.9, 3.6, 0.1, 0.4, 0.1, 0.1, 3.7, 17, 84.3, 247.7, 0.1, -1, 0.1, 0, 4.8, 9.2, -7.5, 0, 62.16, 0.32, 0.06, 0, 0, 1.3, 0.5, 362.3, 0.02, 0, 
0, eco2, 1, 1239, 0, 8101, 11092, 2.6, 0.7, 0.9, 1.5, 23.74, 383.6, 0.1, 59.9, 21, 5158.9, 1289.7, 653.4, 222.1, 21.7, 5.3, 7.5, 0.9, 144.6, 113.9, 2950, 4892.5, 2.2, 0.4, 15.1, 15.2, 1.9, 2.6, 0.1, 0.2, 0, 0, 3.7, 11.8, 58.8, 247.7, 0.1, -0.5, 0.1, -0.2, 3.4, 7.9, -6.4, 0, 2.84, 0.02, 0.01, 0, 0, 0, 0, 346.2, 0, 0, 
0, eco3, 2, 689, 0, 5611.4, 18247.5, 5.6, 1.6, 2, 3.3, 6.05, 399.4, 0.2, 152.9, 53.5, 8428.5, 2107.1, 1091.2, 378.9, 33.5, 11.2, 15.2, 1.8, 110.2, 163.2, 3060.9, 2277.1, 4.4, 0.9, 24.2, 24.5, 3.1, 4.4, 0.2, 0.4, 0.1, 0.1, 2.7, 17.6, 81.8, 229, 0.2, -1, 0.1, 0.1, 5.6, 13.1, -10.9, 0, 3.38, 0.02, 0, 0, 0, 0.1, 0, 338, 0, 0, 
0, eco4, 3, 23, 0, 11848.1, 13500.2, 42.9, 12.3, 15.5, 26.3, 5.9, 636.7, 1.8, 99.2, 34.7, 6250.7, 1562.7, 816.7, 281.1, 25.6, 7.6, 10.1, 1.2, 183.1, 206.8, 4210.7, 7247.6, 3.1, 0.6, 17.9, 18.4, 2.3, 3.3, 0.1, 0.3, 0.1, 0.1, 4.6, 21.7, 110.1, 448.2, 0.1, -0.7, 0.1, -0.2, 4.2, 9.3, -7.6, 0, 43.61, 0.19, 0.02, 0, 0, 0.7, 0.3, 591.1, 0, 0, 
0, eco6, 4, 3, 0, 10819.4, 23461, 285.9, 82, 105.8, 168.1, 7.16, 527.1, 12.2, 185.6, 65, 10849.6, 2712.4, 1413.9, 444.4, 43.7, 15.5, 16, 1.7, 214.6, 277.6, 5616, 4711.2, 5.4, 1.1, 32, 31, 4.2, 5.1, 0.2, 0.6, 0.1, 0.1, 5.6, 29.2, 142.2, 263.2, 0.2, -1.3, 0.1, 0.2, 7.3, 16.5, -13.8, 0, 175.69, 1.36, 0.16, 0, 0, 4, 1.8, 448.3, 0.02, 0, 
0, eco7, 5, 44, 0, 7649.3, 15543.3, 39.6, 11.4, 15.1, 22.5, 12.98, 428.3, 1.6, 211, 73.8, 7103.2, 1775.8, 976.9, 307.8, 27.5, 13.4, 12.1, 1.4, 180.6, 163.5, 3390.5, 3914.7, 5.9, 1.2, 21.5, 20.3, 3, 3.5, 0.1, 0.4, 0.1, 0.1, 4.9, 17, 73.2, 264, 0.2, -1.3, 0.1, -0.3, 5.4, 11.6, -9.3, 0, 29.37, 0.3, 0.05, 0, 0, 0.6, 0.2, 372.9, 0.01, 0, 
0, eco8, 6, 6, 0, 6464.3, 14508, 92.5, 26.7, 35.6, 52.6, 15.03, 290.5, 3.8, 199.5, 69.8, 6625.9, 1656.5, 907.8, 286.7, 25.8, 12.7, 11.4, 1.3, 167, 134.6, 3016.8, 3145.9, 5.6, 1.1, 19.9, 18.7, 2.7, 3.2, 0.1, 0.4, 0.1, 0.1, 4.6, 14, 57, 148, 0.2, -1.2, 0.1, -0.3, 5, 11.1, -8.9, 0, 87.84, 0.83, 0.17, 0, 0, 1.3, 0.6, 239.3, 0.03, 0, 
0, eco10, 7, 1861, 0, 8878.5, 13894.4, 6.1, 1.7, 2.2, 3.6, 11.15, 488.8, 0.2, 178.9, 62.6, 6358.8, 1589.7, 883, 310.5, 24, 10.8, 13.1, 1.7, 165.3, 184, 3529.3, 4999.9, 5.1, 1.1, 21.5, 19.6, 3.1, 3.9, 0.1, 0.4, 0.1, 0.1, 4.3, 19.1, 81.4, 317.8, 0.1, -1.1, 0.1, -0.1, 4.8, 10.1, -8.1, 0, 4.81, 0.03, 0.01, 0, 0, 0.1, 0, 434.4, 0, 0, 
0, eco11, 8, 554, 0, 9292.8, 11395.2, 13.4, 3.9, 5, 7.8, 10.4, 464.2, 0.5, 147.6, 51.6, 5214.6, 1303.6, 747.9, 260.6, 19.9, 9, 11.2, 1.4, 176.1, 135, 3262.9, 5718.7, 4.3, 0.9, 16.1, 16.6, 2.3, 3.4, 0.1, 0.3, 0.1, 0.1, 4.5, 13.9, 66.8, 324.4, 0.1, -0.9, 0.1, -0.2, 4, 8.4, -6.7, 0, 11.88, 0.09, 0.02, 0, 0, 0.2, 0.1, 420.5, 0, 0, 
0, eco12, 9, 71, 0, 10262.4, 18233.9, 29.5, 8.5, 11.1, 16.5, 4.58, 614.7, 1.2, 262.6, 91.9, 8315, 2078.7, 1176.7, 403.6, 35.9, 14.3, 17.4, 2.5, 212.3, 254.5, 5281, 4514.7, 6.8, 1.4, 24.3, 23.5, 3.4, 4.5, 0.2, 0.5, 0.1, 0.1, 5.4, 26.7, 135.1, 378, 0.2, -1.2, 0.1, 0, 5.9, 13.2, -11.3, 0, 15.57, 0.09, 0.01, 0, 0, 0.4, 0.2, 550.7, 0, 0, 
